term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
ye,-0.014806755562005199,0.00016931264461017675,-0.01913630592427428,-0.005852188388413216,0.016241156054099162,0.02552548178850747,0.016900644740905704,0.007185511419780911,-8.377795628298483e-05,-4.511594902100757e-17
hawaii,-0.012206031352468736,-0.011423108228780461,-0.001197101840968618,0.003978385352738162,-0.019941727730460178,-0.009689598238013597,0.00996391696602638,0.018006293723647527,-0.009980731944411778,1.321427430141055e-16
cerda,-0.013650753214392542,0.002890524038343266,-0.014906100955710655,-0.010708183057873044,0.015271199303761076,-0.02696229801230319,-0.019064794557530778,0.0006148191603914016,-0.001911034243310559,1.8514825013644876e-16
carradine,0.01572065268461676,0.0015646148546983212,0.004503932744317701,0.018123658991152654,0.00856380500469025,0.009174997314926589,-0.01990524288450917,0.025363251170821527,0.006631869733969511,6.435050008791354e-16
dodger,-0.001098915273542788,-0.01835742709621691,0.01685383660408102,-0.003993370111614106,0.014792767821893054,-0.0006769534790180675,0.010768598788353276,-0.001200572180640989,-0.004746134624589518,-2.225914460432495e-16
cbs,0.012232513620772018,-0.0016144090586112348,-0.004865559921019332,-0.014809196790157844,-0.00900446116354067,0.0024395841816476156,0.0016972303762036029,-0.0036832523968693804,0.012302304372254826,-4.3115282595365614e-17
hula,-0.012600267449540964,-0.012039552545436585,-0.0008997000512302501,0.006088468341939974,-0.026768765822402008,-0.010939435044544473,0.011167724000426076,0.020938616105050056,-0.011223829959038326,1.660110419419983e-16
bodenheimer,-0.012600267449540964,-0.012039552545436585,-0.0008997000512302501,0.006088468341939974,-0.026768765822402008,-0.010939435044544473,0.011167724000426076,0.020938616105050056,-0.011223829959038326,1.660110419419983e-16
aug,-0.003973627313796381,-0.006903028851916109,-0.004204979570645318,0.0010532825857883326,-0.016785065474674003,-0.00447040358222805,0.008966757564265921,0.011026772591396694,-0.006614322368956709,8.040246657712413e-17
membership,-0.014323151277755703,0.000975570300065278,0.006100733665390825,0.011730594586898048,-0.008299100343504154,0.007935377340218461,-0.009702951206756504,-0.018070157399666924,0.007379977612499784,1.222110489486898e-17
